EAN           ;EQUIPE           ;VENDEDOR  ;JAN ;FEV ;MAR ;ABR ;MAI ;JUN ;JUL ;AGO ;SET ;OUT ;NOV ;DEZ
5629915705967 ;Hospitalar       ;Micaela   ;  7 ; 18 ;148 ; 70 ;109 ;143 ; 79 ; 66 ; 76 ;100 ; 88 ;143
5629915705967 ;Hospitalar       ;Emanuel   ; 25 ;  4 ;181 ;200 ;121 ;119 ; 57 ; 16 ; 66 ;116 ;161 ; 84
5629915705967 ;Hospitalar       ;André     ; 89 ;139 ; 28 ; 39 ;110 ; 39 ;  0 ;  0 ;207 ;139 ;127 ; 89
5629915705967 ;Hospitalar       ;Tiago     ;144 ;105 ; 21 ; 57 ; 82 ; 88 ; 47 ; 70 ;150 ; 21 ;170 ; 59
5629915705967 ;Hospitalar       ;Sarah     ;156 ;  9 ;109 ;166 ; 77 ; 83 ; 28 ; 55 ; 30 ; 95 ; 64 ; 10
5629915705967 ;Hospitalar       ;Vitória   ; 25 ;194 ;126 ; 73 ;128 ;107 ; 69 ; 97 ;121 ;136 ;206 ;179
5629915705967 ;Hospitalar       ;Dulce     ;100 ;180 ;141 ;155 ; 60 ; 78 ;128 ;175 ;185 ; 15 ;118 ;  7
5629915705967 ;Hospitalar       ;Rafael    ; 89 ;101 ; 51 ; 39 ; 27 ; 80 ;195 ;110 ; 64 ; 83 ; 48 ; 47
5629915705967 ;Hospitalar       ;Guilherme ;190 ;151 ;110 ; 38 ; 82 ;121 ;112 ;  5 ; 79 ; 31 ; 10 ; 12
5892103329345 ;Hospitalar       ;Catarina  ; 14 ; 91 ;100 ; 65 ; 69 ;163 ; 78 ; 48 ; 77 ;171 ; 96 ; 46
5892103329345 ;Hospitalar       ;Micaela   ;145 ;116 ;  1 ;135 ; 62 ; 43 ; 86 ; 61 ; 54 ; 92 ; 76 ; 63
5892103329345 ;Hospitalar       ;Emanuel   ; 77 ; 61 ; 89 ;138 ;101 ;131 ;120 ; 88 ;175 ; 13 ; 93 ;126
5892103329345 ;Hospitalar       ;André     ; 77 ;119 ; 42 ;127 ; 99 ;221 ; 63 ; 73 ;125 ; 39 ;  4 ;110
5892103329345 ;Hospitalar       ;Tiago     ;180 ; 42 ; 55 ; 90 ; 76 ; 98 ; 55 ; 34 ;144 ; 16 ; 32 ;116
5892103329345 ;Hospitalar       ;Sarah     ;118 ;142 ;106 ; 25 ; 55 ;124 ;140 ; 27 ; 64 ;126 ; 60 ; 56
5892103329345 ;Hospitalar       ;Vitória   ; 75 ;  2 ;119 ;106 ;171 ; 78 ;  1 ; 81 ; 70 ;206 ; 10 ; 90
5892103329345 ;Hospitalar       ;Dulce     ;123 ; 77 ;134 ; 85 ; 78 ; 49 ; 36 ;181 ; 38 ;135 ; 93 ; 93
5892103329345 ;Hospitalar       ;Rafael    ;164 ; 23 ;108 ; 89 ;119 ;  2 ; 88 ; 31 ;131 ; 91 ; 77 ;  0
5892103329345 ;Hospitalar       ;Guilherme ;100 ; 29 ; 66 ;161 ;191 ;134 ;118 ;158 ;129 ;123 ; 87 ;138
7055812062124 ;Hospitalar       ;Catarina  ;  4 ;153 ; 91 ; 86 ; 96 ;122 ;160 ;134 ; 99 ; 57 ; 51 ; 46
7055812062124 ;Hospitalar       ;Micaela   ; 58 ;174 ;107 ;184 ; 67 ; 88 ;153 ;218 ;156 ;219 ; 73 ; 50
7055812062124 ;Hospitalar       ;Emanuel   ;184 ; 45 ; 46 ; 32 ;158 ; 50 ; 30 ; 78 ;  5 ;104 ;112 ;165
7055812062124 ;Hospitalar       ;André     ; 71 ; 81 ; 16 ; 75 ; 71 ; 57 ;193 ;158 ;105 ;193 ;109 ;140
7055812062124 ;Hospitalar       ;Tiago     ;116 ;193 ;158 ;126 ;148 ;100 ; 13 ; 58 ; 55 ;147 ;129 ;143
7055812062124 ;Hospitalar       ;Sarah     ; 43 ;111 ;133 ;133 ; 67 ;120 ; 77 ;  6 ; 17 ; 42 ;168 ;101
7055812062124 ;Hospitalar       ;Vitória   ;110 ;137 ;102 ; 86 ;116 ; 77 ; 12 ; 86 ;131 ; 32 ;100 ;103
7055812062124 ;Hospitalar       ;Dulce     ; 94 ; 42 ;171 ; 61 ; 19 ; 44 ; 90 ; 35 ; 17 ;123 ;111 ; 35
7055812062124 ;Hospitalar       ;Rafael    ; 67 ; 55 ;165 ; 28 ;162 ;111 ; 64 ;125 ; 48 ;133 ;166 ;104
7055812062124 ;Hospitalar       ;Guilherme ; 87 ; 92 ;184 ; 12 ;208 ; 63 ; 79 ; 28 ; 98 ;105 ; 34 ;186
7130188814477 ;Hospitalar       ;Catarina  ; 45 ;120 ; 65 ;  7 ; 66 ;103 ;110 ;180 ; 98 ;125 ;109 ; 60
7130188814477 ;Hospitalar       ;Micaela   ;126 ; 42 ;101 ;173 ; 81 ; 30 ; 25 ; 29 ;164 ; 72 ;108 ;119
7130188814477 ;Hospitalar       ;Emanuel   ; 56 ; 66 ;  5 ;228 ;168 ;199 ;  2 ; 66 ;130 ; 66 ;165 ; 10
7130188814477 ;Hospitalar       ;André     ;149 ;177 ; 48 ;225 ; 30 ; 15 ;138 ; 46 ;150 ;152 ;102 ;156
7130188814477 ;Hospitalar       ;Tiago     ; 44 ;139 ; 15 ;176 ;126 ; 27 ; 60 ; 37 ;  9 ;107 ; 55 ; 57
7130188814477 ;Hospitalar       ;Sarah     ; 67 ;  1 ; 29 ; 29 ; 83 ; 56 ;161 ;155 ;144 ;166 ; 61 ; 65
7130188814477 ;Hospitalar       ;Vitória   ; 29 ;174 ; 94 ; 17 ; 12 ;103 ; 49 ; 11 ; 21 ; 40 ; 17 ;165
7130188814477 ;Hospitalar       ;Dulce     ; 93 ; 58 ; 60 ;176 ; 73 ;129 ; 92 ;161 ; 35 ;  3 ; 27 ; 23
7130188814477 ;Hospitalar       ;Rafael    ;114 ; 22 ;122 ;200 ;165 ;107 ; 31 ; 87 ;120 ;105 ; 82 ; 95
7130188814477 ;Hospitalar       ;Guilherme ; 97 ; 83 ; 96 ;184 ; 74 ;113 ;137 ;109 ; 81 ; 70 ; 78 ;107
8800809928833 ;Hospitalar       ;Catarina  ;150 ;102 ; 27 ; 46 ; 73 ;195 ;113 ;136 ;121 ;110 ;100 ;159
8800809928833 ;Hospitalar       ;Micaela   ;213 ;189 ; 48 ;152 ; 12 ;114 ; 54 ;150 ; 43 ; 56 ; 92 ; 72
8800809928833 ;Hospitalar       ;Emanuel   ; 27 ; 67 ;130 ; 28 ;128 ;124 ;131 ;168 ;145 ; 50 ; 18 ; 74
8800809928833 ;Hospitalar       ;André     ; 52 ; 11 ; 80 ;126 ;228 ;145 ;138 ;138 ;101 ; 24 ; 34 ; 70
8800809928833 ;Hospitalar       ;Tiago     ;113 ; 27 ; 18 ; 69 ; 62 ; 78 ;  4 ; 55 ;109 ;130 ;131 ; 36
8800809928833 ;Hospitalar       ;Sarah     ;122 ;135 ;128 ; 15 ; 38 ; 70 ;170 ;190 ; 58 ;168 ; 87 ;109
8800809928833 ;Hospitalar       ;Vitória   ; 16 ; 48 ; 69 ;113 ; 92 ; 93 ;135 ; 48 ; 32 ; 53 ;183 ; 71
8800809928833 ;Hospitalar       ;Dulce     ;135 ; 15 ; 32 ; 45 ; 55 ; 69 ;122 ; 79 ; 11 ;103 ; 23 ; 27
8800809928833 ;Hospitalar       ;Rafael    ; 13 ;122 ; 11 ;153 ; 50 ; 87 ; 43 ; 62 ; 15 ;160 ;163 ; 58
8800809928833 ;Hospitalar       ;Guilherme ; 94 ; 52 ; 99 ;184 ; 14 ;146 ; 67 ; 42 ;141 ; 35 ;151 ; 41
9581071715309 ;Hospitalar       ;Catarina  ; 12 ; 89 ; 47 ; 58 ; 71 ;167 ; 85 ;167 ; 36 ; 85 ; 17 ; 66
9581071715309 ;Hospitalar       ;Micaela   ; 46 ; 79 ;134 ;160 ; 98 ; 60 ;150 ;108 ; 73 ;106 ; 85 ; 41
9581071715309 ;Hospitalar       ;Emanuel   ; 33 ;188 ;168 ; 48 ; 95 ;152 ; 74 ; 86 ;  1 ; 60 ; 52 ; 10
9581071715309 ;Hospitalar       ;André     ;102 ; 79 ;116 ; 92 ; 80 ;180 ; 65 ;136 ; 15 ; 13 ;161 ; 94
9581071715309 ;Hospitalar       ;Tiago     ; 78 ; 68 ;183 ; 18 ; 98 ; 70 ;109 ; 18 ; 18 ;166 ; 57 ;127
9581071715309 ;Hospitalar       ;Sarah     ;107 ;128 ;182 ;187 ;123 ; 27 ; 58 ;159 ;157 ;131 ;181 ;157
9581071715309 ;Hospitalar       ;Vitória   ;138 ;  5 ; 58 ; 79 ;  8 ; 19 ;164 ;105 ;105 ; 29 ; 70 ; 12
9581071715309 ;Hospitalar       ;Dulce     ; 55 ;133 ;112 ;106 ;173 ; 43 ; 21 ; 41 ; 13 ; 19 ;  8 ;  2
9581071715309 ;Hospitalar       ;Rafael    ; 56 ;  8 ; 35 ; 87 ;113 ;134 ; 97 ; 86 ; 11 ; 71 ;105 ; 10
9581071715309 ;Hospitalar       ;Guilherme ; 83 ; 68 ;137 ;158 ;116 ; 63 ; 63 ;128 ; 84 ;102 ;116 ; 59
2411876356324 ;Vendas           ;Catarina  ; 46 ; 40 ; 34 ; 94 ; 51 ; 86 ; 32 ; 58 ; 16 ; 63 ;133 ; 55
2411876356324 ;Vendas           ;Micaela   ; 99 ; 20 ;191 ; 61 ;136 ; 76 ; 67 ;188 ; 26 ; 75 ; 58 ; 79
2411876356324 ;Vendas           ;Emanuel   ;124 ; 94 ;100 ;123 ; 28 ; 89 ; 86 ; 72 ;165 ;111 ;138 ;165
2411876356324 ;Vendas           ;André     ;193 ;136 ; 75 ; 77 ;105 ;113 ;125 ;171 ;222 ;107 ;176 ;130
2411876356324 ;Vendas           ;Tiago     ; 22 ; 45 ; 72 ; 66 ;135 ; 10 ; 12 ; 38 ; 26 ; 41 ; 75 ; 51
2411876356324 ;Vendas           ;Sarah     ; 69 ; 13 ;217 ; 81 ;106 ;195 ;157 ;139 ; 14 ;108 ; 51 ; 68
2411876356324 ;Vendas           ;Vitória   ; 74 ; 47 ; 93 ;151 ;220 ;148 ;105 ;149 ; 31 ;  8 ;159 ;139
2411876356324 ;Vendas           ;Dulce     ; 77 ; 69 ;152 ;166 ; 79 ; 36 ;156 ;101 ; 46 ;156 ;175 ; 95
2411876356324 ;Vendas           ;Rafael    ;116 ;103 ; 29 ; 71 ;117 ; 51 ; 60 ;132 ; 77 ;131 ; 38 ; 54
2411876356324 ;Vendas           ;Guilherme ; 21 ; 12 ; 29 ; 27 ; 92 ; 63 ; 75 ; 58 ;134 ;  4 ; 55 ; 33
2686267116626 ;Vendas           ;Catarina  ; 44 ;123 ; 37 ;109 ; 24 ;153 ;143 ; 79 ;126 ; 49 ;126 ; 91
2686267116626 ;Vendas           ;Micaela   ; 75 ; 79 ; 15 ;158 ;149 ; 24 ; 31 ; 59 ; 29 ;175 ; 42 ;184
2686267116626 ;Vendas           ;Emanuel   ; 26 ;119 ; 73 ;127 ; 10 ; 47 ; 58 ; 45 ;208 ;  3 ; 52 ;128
2686267116626 ;Vendas           ;André     ; 47 ;128 ;140 ;119 ; 15 ; 24 ;171 ; 11 ; 20 ;128 ;118 ;  7
2686267116626 ;Vendas           ;Tiago     ; 39 ; 84 ; 12 ;139 ; 61 ; 54 ;147 ; 42 ;168 ; 74 ;171 ; 57
2686267116626 ;Vendas           ;Sarah     ; 92 ;167 ;  3 ; 63 ; 46 ; 92 ; 18 ; 13 ;213 ; 19 ; 23 ;194
2686267116626 ;Vendas           ;Vitória   ;  9 ;  6 ;152 ;202 ;105 ;122 ;138 ; 77 ;110 ; 92 ;112 ; 82
2686267116626 ;Vendas           ;Dulce     ; 13 ;197 ;166 ; 26 ;182 ; 52 ;143 ;146 ;123 ;123 ;116 ;128
2686267116626 ;Vendas           ;Rafael    ;132 ; 97 ;105 ; 76 ; 72 ; 48 ; 63 ; 76 ; 46 ;146 ; 32 ; 86
2686267116626 ;Vendas           ;Guilherme ; 57 ; 49 ; 37 ;113 ; 35 ;110 ; 99 ;121 ;198 ; 94 ;120 ; 83
4600312108192 ;Vendas           ;Catarina  ;155 ; 22 ;122 ; 58 ;186 ; 40 ;118 ; 98 ;138 ; 75 ;139 ; 39
4600312108192 ;Vendas           ;Micaela   ;114 ;114 ;165 ;121 ; 30 ;200 ; 13 ;  7 ;114 ;167 ;164 ; 55
4600312108192 ;Vendas           ;Emanuel   ;176 ;  0 ; 75 ; 92 ; 50 ; 33 ;115 ; 68 ; 51 ; 14 ; 22 ;  5
4600312108192 ;Vendas           ;André     ; 40 ; 50 ;116 ;  9 ;126 ; 66 ; 92 ;115 ;120 ; 47 ; 39 ;196
4600312108192 ;Vendas           ;Tiago     ; 48 ;147 ; 21 ;  7 ; 81 ;189 ; 51 ;  9 ; 20 ; 11 ;133 ; 33
4600312108192 ;Vendas           ;Sarah     ;117 ; 84 ; 25 ;104 ;120 ;187 ; 55 ;196 ;157 ; 16 ;127 ; 21
4600312108192 ;Vendas           ;Vitória   ;103 ;151 ;136 ;172 ; 68 ;100 ; 60 ;151 ; 31 ;112 ;107 ; 52
4600312108192 ;Vendas           ;Dulce     ; 95 ; 90 ;153 ;126 ;169 ; 19 ;112 ; 28 ; 90 ; 13 ; 54 ;130
4600312108192 ;Vendas           ;Rafael    ;204 ;148 ; 68 ;107 ; 96 ;  1 ;141 ; 56 ; 82 ;156 ; 70 ;166
4600312108192 ;Vendas           ;Guilherme ; 51 ; 35 ; 32 ; 14 ;147 ;140 ; 94 ; 76 ; 35 ;169 ;  8 ;131
5629915705967 ;Vendas           ;Catarina  ;  0 ;126 ;146 ;136 ; 58 ; 33 ; 57 ;162 ;174 ; 61 ; 88 ; 59
5629915705967 ;Vendas           ;Micaela   ;  9 ;  2 ; 71 ;168 ;102 ;108 ; 57 ;139 ; 93 ; 94 ; 21 ;104
5629915705967 ;Vendas           ;Emanuel   ;129 ;119 ;125 ;157 ;180 ; 20 ;143 ;195 ; 58 ;149 ; 79 ;183
5629915705967 ;Vendas           ;André     ;  3 ; 52 ;121 ;141 ;112 ;135 ; 11 ;  9 ;124 ;165 ;186 ;121
5629915705967 ;Vendas           ;Tiago     ;121 ; 86 ; 13 ; 58 ;100 ; 26 ;142 ;223 ; 60 ;101 ; 25 ;113
5629915705967 ;Vendas           ;Sarah     ;171 ; 69 ; 53 ; 59 ; 95 ; 89 ;167 ; 75 ; 78 ; 80 ; 92 ; 12
5629915705967 ;Vendas           ;Vitória   ; 54 ;121 ; 36 ; 29 ;149 ; 74 ;155 ;  2 ; 57 ;188 ; 10 ; 58
5629915705967 ;Vendas           ;Dulce     ; 14 ; 29 ; 41 ; 10 ; 54 ;125 ; 75 ; 95 ;  9 ;  2 ;  5 ; 60
5629915705967 ;Vendas           ;Rafael    ;141 ; 50 ; 57 ; 77 ;100 ;163 ;213 ; 54 ;134 ;118 ; 25 ; 40
5629915705967 ;Vendas           ;Guilherme ; 65 ;115 ; 63 ;118 ;129 ; 42 ;101 ; 33 ;139 ; 12 ; 85 ;177
5892103329345 ;Vendas           ;Catarina  ; 11 ; 55 ;  2 ; 71 ;115 ; 58 ;130 ;  6 ;  1 ;169 ; 25 ; 83
5892103329345 ;Vendas           ;Micaela   ;221 ; 48 ; 90 ; 33 ;122 ;174 ; 49 ;108 ;105 ; 91 ;150 ; 95
5892103329345 ;Vendas           ;Emanuel   ; 11 ; 58 ; 21 ;112 ;113 ; 81 ; 72 ;154 ; 40 ; 55 ;  3 ;178
5892103329345 ;Vendas           ;André     ;141 ;102 ; 89 ; 46 ;106 ; 43 ;119 ; 12 ; 21 ; 66 ; 56 ; 39
5892103329345 ;Vendas           ;Tiago     ;107 ;  9 ;  6 ; 60 ;  4 ;177 ; 37 ; 39 ;199 ;167 ;217 ;124
5892103329345 ;Vendas           ;Sarah     ;155 ; 99 ;121 ;168 ; 65 ; 41 ; 79 ;105 ; 60 ;208 ; 73 ;109
5892103329345 ;Vendas           ;Vitória   ; 51 ;102 ; 67 ; 34 ;100 ;111 ; 90 ;179 ;141 ; 54 ; 37 ;  1
5892103329345 ;Vendas           ;Dulce     ; 74 ;  0 ;  9 ;131 ; 12 ;132 ; 22 ;156 ;  1 ; 66 ;136 ; 48
5892103329345 ;Vendas           ;Rafael    ; 31 ;  4 ; 26 ; 72 ; 44 ; 98 ; 52 ;169 ;146 ;218 ; 14 ;114
5892103329345 ;Vendas           ;Guilherme ; 85 ;117 ;103 ;127 ;102 ; 20 ;168 ;  8 ;135 ; 33 ; 49 ; 89
7055812062124 ;Vendas           ;Catarina  ;117 ; 74 ;177 ;218 ; 36 ;113 ; 99 ; 72 ;219 ;  1 ;147 ;135
7055812062124 ;Vendas           ;Micaela   ; 70 ; 31 ; 67 ; 18 ; 16 ;115 ;161 ;229 ; 91 ; 92 ; 48 ; 76
7055812062124 ;Vendas           ;Emanuel   ; 38 ;101 ; 21 ;131 ; 30 ;146 ;207 ; 33 ; 95 ;166 ;  8 ; 24
7055812062124 ;Vendas           ;André     ; 45 ; 11 ; 45 ;119 ; 13 ;146 ;100 ; 47 ; 61 ;122 ;148 ; 44
7055812062124 ;Vendas           ;Tiago     ;108 ; 63 ;145 ;203 ;133 ;129 ; 35 ;138 ;174 ;125 ;161 ; 24
7055812062124 ;Vendas           ;Sarah     ; 16 ; 22 ;186 ;110 ; 26 ;149 ; 70 ; 28 ;112 ; 35 ;168 ;  6
7055812062124 ;Vendas           ;Vitória   ;147 ;156 ; 50 ;  2 ; 33 ; 73 ; 30 ;  6 ;110 ; 86 ; 71 ;142
7055812062124 ;Vendas           ;Dulce     ; 36 ;133 ; 46 ; 85 ;167 ; 17 ;  8 ;147 ;104 ;169 ;133 ;162
7055812062124 ;Vendas           ;Rafael    ;120 ;146 ;  6 ; 31 ;218 ; 27 ; 98 ;135 ; 61 ;141 ;136 ;136
7055812062124 ;Vendas           ;Guilherme ; 97 ;142 ; 13 ; 19 ;122 ; 40 ; 21 ;107 ; 51 ; 68 ;125 ;149
7130188814477 ;Vendas           ;Catarina  ; 65 ; 90 ;185 ;109 ; 46 ; 98 ; 21 ; 30 ; 76 ; 43 ;183 ;122
7130188814477 ;Vendas           ;Micaela   ;  3 ; 14 ; 21 ;138 ; 66 ;159 ;183 ;  5 ;178 ; 46 ;118 ; 83
7130188814477 ;Vendas           ;Emanuel   ; 41 ;149 ;121 ; 60 ; 89 ; 32 ; 43 ; 40 ; 65 ;136 ; 64 ; 18
7130188814477 ;Vendas           ;André     ; 57 ; 19 ;114 ;167 ;119 ;174 ;180 ; 52 ; 81 ;172 ; 45 ; 89
7130188814477 ;Vendas           ;Tiago     ;122 ; 49 ;148 ;  8 ; 47 ; 99 ;142 ; 93 ; 67 ; 21 ; 63 ;  4
7130188814477 ;Vendas           ;Sarah     ; 83 ;109 ; 72 ; 98 ; 89 ; 26 ;202 ; 39 ; 52 ; 72 ; 14 ; 61
7130188814477 ;Vendas           ;Vitória   ; 74 ; 74 ;149 ;153 ;106 ;196 ; 63 ;131 ; 30 ; 90 ; 40 ;114
7130188814477 ;Vendas           ;Dulce     ; 30 ;118 ; 37 ;137 ;154 ; 60 ; 90 ;155 ;106 ; 96 ; 11 ;134
7130188814477 ;Vendas           ;Rafael    ; 48 ; 47 ; 34 ;138 ;182 ; 43 ;151 ;  7 ;127 ;138 ;134 ;156
7130188814477 ;Vendas           ;Guilherme ; 92 ;114 ; 92 ;142 ;122 ; 49 ;157 ; 82 ;164 ; 70 ; 54 ;138
8800809928833 ;Vendas           ;Catarina  ; 97 ; 53 ; 51 ; 40 ;166 ; 81 ;164 ; 20 ;107 ;  8 ; 30 ; 35
8800809928833 ;Vendas           ;Micaela   ;165 ;116 ; 35 ; 16 ; 83 ;156 ;145 ;123 ; 64 ;162 ; 29 ; 57
8800809928833 ;Vendas           ;Emanuel   ;155 ;110 ; 87 ;183 ;103 ; 64 ;  9 ; 40 ;166 ;  1 ; 76 ; 65
8800809928833 ;Vendas           ;André     ;173 ;  7 ; 55 ;157 ; 48 ;157 ; 41 ;173 ; 14 ;105 ; 19 ;101
8800809928833 ;Vendas           ;Tiago     ;111 ;129 ; 16 ; 99 ;152 ; 48 ; 60 ; 79 ;129 ; 64 ; 37 ;147
8800809928833 ;Vendas           ;Sarah     ;170 ;  9 ;143 ; 41 ;  5 ;150 ; 52 ;117 ; 50 ;  9 ;  5 ; 69
8800809928833 ;Vendas           ;Vitória   ; 44 ;126 ;116 ;121 ;116 ; 31 ; 65 ; 94 ;189 ;186 ; 14 ;143
8800809928833 ;Vendas           ;Dulce     ; 60 ; 59 ;114 ; 88 ; 45 ; 77 ; 93 ; 67 ;192 ; 30 ;126 ;156
8800809928833 ;Vendas           ;Rafael    ; 69 ;132 ; 11 ; 80 ;  6 ; 12 ; 51 ; 47 ; 30 ; 87 ;166 ;107
8800809928833 ;Vendas           ;Guilherme ; 75 ; 81 ; 20 ;  6 ; 68 ;123 ; 70 ;206 ; 89 ;183 ;113 ;111
9581071715309 ;Vendas           ;Catarina  ;189 ; 20 ;145 ; 31 ;108 ;124 ; 49 ; 21 ; 58 ; 58 ; 36 ; 45
9581071715309 ;Vendas           ;Micaela   ; 15 ;124 ;103 ;  0 ; 14 ; 37 ;187 ; 45 ;155 ; 14 ; 95 ;162
9581071715309 ;Vendas           ;Emanuel   ;118 ;150 ; 12 ; 92 ;101 ; 52 ; 39 ; 83 ;122 ; 25 ;127 ; 56
9581071715309 ;Vendas           ;André     ; 94 ; 45 ; 71 ; 98 ;144 ;125 ; 51 ;129 ; 86 ;155 ;108 ; 60
9581071715309 ;Vendas           ;Tiago     ; 86 ; 94 ;127 ;142 ; 55 ;158 ; 72 ; 35 ; 95 ; 35 ;142 ; 14
9581071715309 ;Vendas           ;Sarah     ;121 ;165 ; 15 ; 74 ;102 ;136 ;107 ; 49 ;115 ;  3 ; 48 ; 94
9581071715309 ;Vendas           ;Vitória   ;196 ; 74 ; 22 ;185 ;108 ;121 ;168 ;  1 ; 25 ; 10 ;148 ; 51
9581071715309 ;Vendas           ;Dulce     ; 99 ; 66 ;154 ; 87 ;  5 ;  8 ;144 ;102 ; 41 ;  1 ; 78 ;150
9581071715309 ;Vendas           ;Rafael    ;207 ;104 ; 82 ;184 ;124 ;119 ; 71 ;  8 ; 87 ; 47 ;152 ; 16
9581071715309 ;Vendas           ;Guilherme ; 49 ; 16 ; 56 ;  8 ;106 ; 43 ;124 ; 40 ;126 ;184 ; 13 ;  8
1236774484862 ;Comercial        ;Yasmin    ;145 ;115 ; 80 ; 22 ;130 ; 95 ;122 ;113 ; 57 ;231 ;189 ;  5
1236774484862 ;Comercial        ;Isabel    ; 88 ; 62 ;113 ;  1 ;199 ; 74 ; 95 ; 14 ;142 ; 90 ;121 ;131
